FieldDeclaration, field declaration
MethodDeclaration, method declaration
SimpleType, type
ArrayType, array
MethodInvocation, method invocation
LambdaExpression, lambda expression
SimpleName, name
ExpressionStatement, statement
VariableDeclarationStatement, variable declaration statement
QualifiedName, name
ParenthesizedExpression, parenthesized expression,
IfStatement, if statement 
Block, block of code
TryStatement, try block
CatchClause, catch clause
SingleVariableDeclaration, parameter
VariableDeclarationFragment, variable declaration fragment
ParameterizedType, parameterized type
StringLiteral, string
FieldAccess, field access
ThisExpression, this keyword
PrefixExpression, expression
InfixExpression, expression
ThrowStatement, throw statement
ClassInstanceCreation, class instance creation
ReturnStatement, return statement
SynchronizedStatement, synchronized block
EnhancedForStatement, loop
DoStatement, loop
Assignment, assignment
ArrayAccess, array access
